time,date,x,y,z,r,latitude,longitude,anomaly
1.9518,Sat Jul 13 09:23:33 2019,-1.390182495,4.064590454,9.291046143,10.23606572,30.37271918,120.1799976,0
1.9728,Sat Jul 13 09:23:33 2019,-0.220092773,2.101287842,7.425827026,7.720541331,30.37271918,120.1799976,0
1.9968,Sat Jul 13 09:23:33 2019,0.031143188,2.417129517,11.60250854,11.85165345,30.37271918,120.1799976,0
2.0188,Sat Jul 13 09:23:33 2019,-0.504837036,2.454223633,8.088653564,8.467844505,30.37271918,120.1799976,0
2.0418,Sat Jul 13 09:23:33 2019,-0.373245239,3.802581787,9.352050781,10.10246475,30.37271918,120.1799976,0
2.0678,Sat Jul 13 09:23:33 2019,-0.766860962,2.345352173,9.176177979,9.502157378,30.37271918,120.1799976,0
2.0928,Sat Jul 13 09:23:33 2019,0.339828491,3.06678772,8.680877686,9.212942403,30.37271918,120.1799976,0
2.1178,Sat Jul 13 09:23:33 2019,-0.757293701,0.908462524,10.09503174,10.16407712,30.37271918,120.1799976,0
2.1418,Sat Jul 13 09:23:33 2019,-0.841033936,3.636276245,8.308792114,9.108560227,30.37271918,120.1799976,0
2.1678,Sat Jul 13 09:23:33 2019,-1.233459473,1.827301025,6.687652588,7.041672276,30.37271918,120.1799976,0
2.1928,Sat Jul 13 09:23:33 2019,-0.758483887,0.031494141,9.89881897,9.927885308,30.37271918,120.1799976,0
2.2178,Sat Jul 13 09:23:34 2019,-0.180618286,4.473770142,8.538497925,9.641223421,30.37271918,120.1799976,0
2.2418,Sat Jul 13 09:23:34 2019,-0.110031128,2.594207764,10.80569458,11.11328287,30.37271918,120.1799976,0
2.2678,Sat Jul 13 09:23:34 2019,-0.514419556,2.15032959,8.501403809,8.784213769,30.37271918,120.1799976,0
2.2928,Sat Jul 13 09:23:34 2019,-0.094467163,4.259613037,6.577575684,7.836946417,30.37271918,120.1799976,0
2.3178,Sat Jul 13 09:23:34 2019,0.502532959,2.054626465,11.84657288,12.03392364,empty,empty,0
2.3428,Sat Jul 13 09:23:34 2019,0.220184326,2.95791626,8.950057983,9.428747936,empty,empty,0
2.3668,Sat Jul 13 09:23:34 2019,-0.788391113,3.645843506,8.481063843,9.265105467,empty,empty,0
2.3928,Sat Jul 13 09:23:34 2019,-1.326782227,1.541366577,12.0092926,12.18028205,empty,empty,0
2.4178,Sat Jul 13 09:23:34 2019,-1.192779541,2.583435059,9.401107788,9.822305604,empty,empty,0
2.4428,Sat Jul 13 09:23:34 2019,-0.448608398,2.992599487,8.731124878,9.240640823,empty,empty,0
2.4678,Sat Jul 13 09:23:34 2019,-0.330169678,1.731582642,9.935897827,10.09105822,empty,empty,0
2.4878,Sat Jul 13 09:23:34 2019,-0.466552734,3.434082031,10.26252747,10.83190015,empty,empty,0
2.5128,Sat Jul 13 09:23:34 2019,-0.190185547,1.382232666,8.398513794,8.513622709,empty,empty,0
2.5338,Sat Jul 13 09:23:34 2019,-0.629272461,1.401382446,11.04975891,11.15603104,empty,empty,0
2.5578,Sat Jul 13 09:23:34 2019,0.701141357,4.429504395,8.113769531,9.270672273,empty,empty,0
2.5828,Sat Jul 13 09:23:34 2019,0.102935791,2.929199219,10.39173889,10.79717746,empty,empty,0
2.6088,Sat Jul 13 09:23:34 2019,-0.205734253,2.208953857,10.63102722,10.86004344,empty,empty,0
2.6328,Sat Jul 13 09:23:34 2019,-1.29447937,2.951934814,7.538299561,8.198509392,empty,empty,0
2.6578,Sat Jul 13 09:23:34 2019,-0.349304199,2.176651001,8.567214966,8.846298394,empty,empty,0
2.6828,Sat Jul 13 09:23:34 2019,-0.696273804,0.285125732,9.198913574,9.229631891,empty,empty,0
2.7088,Sat Jul 13 09:23:34 2019,-0.525177002,3.936569214,8.700012207,9.56360813,empty,empty,0
2.7338,Sat Jul 13 09:23:34 2019,-0.717803955,3.254623413,11.68386841,12.14992169,empty,empty,0
2.7578,Sat Jul 13 09:23:34 2019,-0.831466675,2.833480835,10.81048584,11.2065407,empty,empty,0
2.7778,Sat Jul 13 09:23:34 2019,-1.481109619,3.813339233,8.728729248,9.639810999,empty,empty,0
2.7998,Sat Jul 13 09:23:34 2019,-0.652008057,2.593002319,9.598510742,9.963944199,empty,empty,0
2.8238,Sat Jul 13 09:23:34 2019,-0.697463989,2.942352295,10.87150574,11.28421597,empty,empty,0
2.8428,Sat Jul 13 09:23:34 2019,-0.497665405,3.215133667,9.213272095,9.77083098,30.37271918,120.1799976,0
2.8678,Sat Jul 13 09:23:34 2019,-0.851806641,1.893112183,8.799316406,9.04087482,30.37271918,120.1799976,0
2.8878,Sat Jul 13 09:23:34 2019,-1.069549561,2.262802124,9.795928955,10.11060996,30.37271918,120.1799976,0
2.9128,Sat Jul 13 09:23:34 2019,-0.882904053,3.28213501,8.893829346,9.521141225,30.37271918,120.1799976,0
2.9378,Sat Jul 13 09:23:34 2019,-1.143722534,2.516433716,9.178573608,9.58575784,30.37271918,120.1799976,0
2.9578,Sat Jul 13 09:23:34 2019,-0.890090942,2.077346802,6.824035645,7.18853908,30.37271918,120.1799976,0
2.9828,Sat Jul 13 09:23:34 2019,-1.138946533,3.155319214,8.885452271,9.497604993,30.37271918,120.1799976,0
3.0088,Sat Jul 13 09:23:34 2019,-1.293273926,2.488922119,9.598510742,9.999934961,30.37271918,120.1799976,0
3.0338,Sat Jul 13 09:23:34 2019,-1.573242188,2.725814819,8.801712036,9.347475177,30.37271918,120.1799976,0
3.0578,Sat Jul 13 09:23:34 2019,-0.824279785,2.557113647,7.96661377,8.407449216,30.37271918,120.1799976,0
3.0828,Sat Jul 13 09:23:34 2019,-0.747711182,2.241256714,9.610488892,9.896656021,30.37271918,120.1799976,0
3.1078,Sat Jul 13 09:23:34 2019,-0.405548096,3.083526611,9.715759277,10.20140108,30.37271918,120.1799976,0
3.1338,Sat Jul 13 09:23:34 2019,-0.724975586,2.231689453,9.745681763,10.02418777,30.37271918,120.1799976,0
3.1578,Sat Jul 13 09:23:34 2019,-0.124389648,2.516433716,9.828231812,10.14603627,30.37271918,120.1799976,0
3.1838,Sat Jul 13 09:23:34 2019,-0.169845581,3.17565918,10.51257324,10.98307129,30.37271918,120.1799976,0
3.2088,Sat Jul 13 09:23:35 2019,-0.903244019,4.340957642,9.91317749,10.85959718,30.37271918,120.1799976,0
3.2338,Sat Jul 13 09:23:35 2019,-1.350708008,2.319030762,9.056549072,9.445813723,30.37271918,120.1799976,0
3.2588,Sat Jul 13 09:23:35 2019,-0.893676758,2.098892212,8.963226318,9.248969278,30.37271918,120.1799976,0
3.2838,Sat Jul 13 09:23:35 2019,-0.795578003,1.308059692,8.302810669,8.442785649,30.37271918,120.1799976,0
3.3088,Sat Jul 13 09:23:35 2019,-0.683105469,2.959106445,10.11058044,10.55683575,30.37271918,120.1799976,0
3.3348,Sat Jul 13 09:23:35 2019,-0.690292358,1.200378418,7.531112671,7.657353978,empty,empty,0
3.3588,Sat Jul 13 09:23:35 2019,-0.330169678,1.737579346,8.514572144,8.696328696,empty,empty,0
3.3848,Sat Jul 13 09:23:35 2019,0.162750244,3.193603516,9.374786377,9.90516081,empty,empty,0
3.4098,Sat Jul 13 09:23:35 2019,0.246505737,3.079940796,12.64099121,13.01312642,empty,empty,0
3.4338,Sat Jul 13 09:23:35 2019,0.551589966,2.804763794,10.00769043,10.40792098,empty,empty,0
3.4588,Sat Jul 13 09:23:35 2019,-0.114807129,3.441253662,8.642578125,9.303201819,empty,empty,0
3.4838,Sat Jul 13 09:23:35 2019,-0.043029785,3.260604858,10.76023865,11.24349284,empty,empty,0
3.5048,Sat Jul 13 09:23:35 2019,-0.824279785,1.635879517,8.31237793,8.511825057,empty,empty,0
3.5298,Sat Jul 13 09:23:35 2019,-1.111419678,2.999786377,8.926132202,9.482078258,empty,empty,0
3.5548,Sat Jul 13 09:23:35 2019,-0.868545532,3.621917725,9.386749268,10.09869898,empty,empty,0
3.5748,Sat Jul 13 09:23:35 2019,-0.539535522,2.625305176,9.775588989,10.13634381,empty,empty,0
3.6008,Sat Jul 13 09:23:35 2019,-0.647216797,1.122619629,10.5065918,10.58620024,empty,empty,0
3.6238,Sat Jul 13 09:23:35 2019,0.357772827,2.643249512,10.4072876,10.74366811,empty,empty,0
3.6508,Sat Jul 13 09:23:35 2019,-1.067153931,3.057220459,9.075683594,9.636049353,empty,empty,0
3.6738,Sat Jul 13 09:23:35 2019,-0.014312744,1.719619751,7.208084106,7.410382813,empty,empty,0
3.7008,Sat Jul 13 09:23:35 2019,-0.095672607,3.309661865,8.394927979,9.024291145,empty,empty,0
3.7248,Sat Jul 13 09:23:35 2019,-1.282516479,2.986618042,11.1993103,11.66144447,empty,empty,0
3.7508,Sat Jul 13 09:23:35 2019,-1.814910889,1.302078247,9.67149353,9.926081624,empty,empty,0
3.7748,Sat Jul 13 09:23:35 2019,-0.903244019,3.30368042,7.695022583,8.422798028,empty,empty,0
3.8008,Sat Jul 13 09:23:35 2019,0.033538818,1.677749634,7.121948242,7.316974474,empty,empty,0
3.8248,Sat Jul 13 09:23:35 2019,0.238128662,2.309463501,10.94088745,11.18451363,empty,empty,0
3.8568,Sat Jul 13 09:23:35 2019,-0.072937012,3.103866577,11.7723999,12.17492123,30.37271918,120.1799976,0
3.8788,Sat Jul 13 09:23:35 2019,-0.886505127,3.090713501,9.587753296,10.11253749,30.37271918,120.1799976,0
3.8998,Sat Jul 13 09:23:35 2019,-0.687896729,2.279541016,11.15864563,11.40985896,30.37271918,120.1799976,0
3.9238,Sat Jul 13 09:23:35 2019,-1.476333618,2.400390625,9.21446228,9.635753796,30.37271918,120.1799976,0
3.9508,Sat Jul 13 09:23:35 2019,-1.562469482,3.197189331,8.656936646,9.359801418,30.37271918,120.1799976,0
3.9748,Sat Jul 13 09:23:35 2019,-1.643829346,2.595397949,8.536102295,9.072117053,30.37271918,120.1799976,0
3.9948,Sat Jul 13 09:23:35 2019,-1.034851074,2.208953857,10.10578918,10.39602659,30.37271918,120.1799976,0
4.0178,Sat Jul 13 09:23:35 2019,-1.689285278,-0.064224243,10.91577148,11.04589863,30.37271918,120.1799976,0
4.0398,Sat Jul 13 09:23:35 2019,-0.37562561,2.600189209,10.59512329,10.91598443,30.37271918,120.1799976,0
